CONSOLIDATED STATEMENTS OF INCOME - USD ($) $ in Millions,3 Months Ended,Unnamed: 2
,"Mar. 31, 2017","Mar. 31, 2016"
Income Statement [Abstract],,
Revenues,24750,20257
Costs and expenses:,,
Cost of revenues,9795,7648
Research and development,3942,3367
Sales and marketing,2644,2387
General and administrative,1801,1513
Total costs and expenses,18182,14915
Income from operations,6568,5342
"Other income (expense), net",251,-213
Income before income taxes,6819,5129
Provision for income taxes,1393,922
Net income,5426,4207
Net income per share - basic (in dollars per share),7.85,6.12
Net income per share - diluted (in dollars per share),7.73,6.02
