Consolidated Statements Of Operations (USD $),3 Months Ended,Unnamed: 2,9 Months Ended,Unnamed: 4
"In Millions, except Per Share data, unless otherwise specified","Sep. 30, 2014","Sep. 30, 2013","Sep. 30, 2014","Sep. 30, 2013"
Net product sales,16022,13808,46978,39831
Net service sales,4557,3284,12681,9034
Total net sales,20579,17092,59659,48865
Operating expenses,',',','
Cost of sales,14627,12366,42080,35375
Fulfillment,2643,2034,7342,5667
Marketing,993,694,2806,2001
Technology and content,2423,1734,6639,4703
General and administrative,406,278,1110,810
"Other operating expense (income), net",31,11,94,74
Total operating expenses,21123,17117,60071,48630
Income (loss) from operations,-544,-25,-412,235
Interest income,9,9,31,28
Interest expense,-49,-36,-136,-102
"Other income (expense), net",-50,9,-23,-107
Total non-operating income (expense),-90,-18,-128,-181
Income (loss) before income taxes,-634,-43,-540,54
Benefit (provision) for income taxes,205,12,38,18
"Equity-method investment activity, net of tax",-8,-10,47,-38
Net income (loss),-437,-41,-455,34
Basic earnings per share (in usd per share),-0.95,-0.09,-0.99,0.08
Diluted earnings per share (in usd per share),-0.95,-0.09,-0.99,0.07
Weighted average shares used in computation of earnings per share:,',',','
Basic (in shares),463,457,461,456
Diluted (in shares),463,457,461,464
