Consolidated Statements Of Operations (USD $),12 Months Ended,Unnamed: 2,Unnamed: 3
"In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2014","Dec. 31, 2013","Dec. 31, 2012"
Net product sales,70080,60903,51733
Net service sales,18908,13549,9360
Total net sales,88988,74452,61093
Operating expenses:,,,
Cost of sales,62752,54181,45971
Fulfillment,10766,8585,6419
Marketing,4332,3133,2408
Technology and content,9275,6565,4564
General and administrative,1552,1129,896
"Other operating expense (income), net",133,114,159
Total operating expenses,88810,73707,60417
Income from operations,178,745,676
Interest income,39,38,40
Interest expense,-210,-141,-92
"Other income (expense), net",-118,-136,-80
Total non-operating income (expense),-289,-239,-132
Income (loss) before income taxes,-111,506,544
Provision for income taxes,-167,-161,-428
"Equity-method investment activity, net of tax",37,-71,-155
Net income (loss),-241,274,-39
Basic earnings per share,-0.52,0.6,-0.09
Diluted earnings per share,-0.52,0.59,-0.09
Weighted average shares used in computation of earnings per share:,,,
Basic,462,457,453
Diluted,462,465,453
