"Consolidated Statements Of Operations - USD ($) shares in Millions, $ in Millions",3 Months Ended,Unnamed: 2,6 Months Ended,Unnamed: 4
,"Jun. 30, 2016","Jun. 30, 2015","Jun. 30, 2016","Jun. 30, 2015"
Net product sales,21116,17104,41697,34187
Net service sales,9288,6081,17835,11714
Total net sales,30404,23185,59532,45901
Operating expenses,,,,
Cost of sales,19180,15160,38047,30555
Fulfillment,3878,2876,7565,5634
Marketing,1546,1150,2982,2233
Technology and content,3880,3020,7405,5774
General and administrative,580,467,1077,894
"Other operating expense (income), net",55,48,100,92
Total operating expenses,29119,22721,57176,45182
Operating income,1285,464,2356,719
Interest income,24,12,45,23
Interest expense,-116,-114,-233,-228
"Other income (expense), net",-14,0,66,-131
Total non-operating income (expense),-106,-102,-122,-336
Income before income taxes,1179,362,2234,383
Provision for income taxes,-307,-266,-782,-337
"Equity-method investment activity, net of tax",-15,-4,-82,-11
Net income,857,92,1370,35
Basic earnings per share (in usd per share),1.81,0.2,2.9,0.07
Diluted earnings per share (in usd per share),1.78,0.19,2.84,0.07
Weighted average shares used in computation of earnings per share:,,,,
Basic (in shares),473,467,472,466
Diluted (in shares),483,476,482,475
