"Consolidated Statements of Operations - USD ($) shares in Millions, $ in Millions",3 Months Ended,Unnamed: 2,6 Months Ended,Unnamed: 4
,"Jun. 30, 2019","Jun. 30, 2018","Jun. 30, 2019","Jun. 30, 2018"
Total net sales,63404,52886,123104,103928
Operating expenses:,,,,
Cost of sales,36337,30632,70257,61367
Fulfillment,9271,7932,17872,15724
Marketing,4291,2901,7955,5600
Technology and content,9065,7247,16991,14006
General and administrative,1270,1111,2444,2177
"Other operating expense (income), net",86,80,81,143
Total operating expenses,60320,49903,115600,99017
Operating income,3084,2983,7504,4911
Interest income,215,94,398,173
Interest expense,-383,-343,-749,-673
"Other income (expense), net",-27,-129,138,109
Total non-operating income (expense),-195,-378,-213,-391
Income before income taxes,2889,2605,7291,4520
Provision for income taxes,-257,-74,-1094,-361
"Equity-method investment activity, net of tax",-7,3,-11,4
Net income,2625,2534,6186,4163
Basic earnings per share,5.32,5.21,12.57,8.58
Diluted earnings per share,5.22,5.07,12.31,8.34
Weighted-average shares used in computation of earnings per share:,,,,
Basic (in shares),493,486,492,485
Diluted (in shares),503,500,503,499
Product [Member],,,,
Total net sales,35856,31864,70139,63468
Service [Member],,,,
Total net sales,27548,21022,52965,40460
