Date,Open,High,Low,Close,Adj Close,Volume
1997-05-15,1.959000,2.500000,1.927000,1.959000,1.959000,72072000
1997-05-16,1.970000,1.979000,1.709000,1.729000,1.729000,14685600
1997-05-19,1.760000,1.771000,1.625000,1.709000,1.709000,6106800
1997-05-20,1.730000,1.750000,1.636000,1.636000,1.636000,5467200
1997-05-21,1.630000,1.646000,1.375000,1.427000,1.427000,18853200
1997-05-22,1.440000,1.448000,1.313000,1.396000,1.396000,11776800
1997-05-23,1.410000,1.521000,1.334000,1.500000,1.500000,15937200
1997-05-27,1.510000,1.646000,1.459000,1.584000,1.584000,8697600
1997-05-28,1.620000,1.636000,1.532000,1.532000,1.532000,4574400
1997-05-29,1.540000,1.542000,1.479000,1.506000,1.506000,3472800
1997-05-30,1.500000,1.511000,1.479000,1.500000,1.500000,2594400
1997-06-02,1.510000,1.532000,1.500000,1.511000,1.511000,591600
1997-06-03,1.530000,1.532000,1.479000,1.479000,1.479000,1183200
1997-06-04,1.480000,1.490000,1.396000,1.417000,1.417000,3080400
1997-06-05,1.420000,1.542000,1.375000,1.542000,1.542000,5672400
1997-06-06,null,null,null,null,null,null
1997-06-09,null,null,null,null,null,null
1997-06-10,1.709000,1.709000,1.532000,1.584000,1.584000,5458800
1997-06-11,1.708333,1.708333,1.531247,1.541666,1.541666,1188000
1997-06-12,1.580000,1.646000,1.552000,1.604000,1.604000,1632000
1997-06-13,1.620000,1.625000,1.584000,1.584000,1.584000,693600
1997-06-16,1.600000,1.604000,1.563000,1.573000,1.573000,913200
1997-06-17,1.599000,1.599000,1.495000,1.506000,1.506000,4706400
1997-06-18,1.520000,1.537000,1.500000,1.511000,1.511000,2464800
1997-06-19,1.510000,1.532000,1.500000,1.532000,1.532000,994800
1997-06-20,1.530000,1.552000,1.500000,1.526000,1.526000,3387600
1997-06-23,1.540000,1.542000,1.479000,1.500000,1.500000,1047600
1997-06-24,1.500000,1.526000,1.479000,1.511000,1.511000,751200
1997-06-25,1.520000,1.526000,1.490000,1.511000,1.511000,2106000
1997-06-26,1.520000,1.521000,1.506000,1.511000,1.511000,3189600
1997-06-27,1.510000,1.516000,1.479000,1.490000,1.490000,1188000
1997-06-30,1.510000,1.599000,1.479000,1.542000,1.542000,2746800
1997-07-01,1.511000,1.516000,1.511000,1.516000,1.516000,553200
1997-07-02,1.511000,1.594000,1.511000,1.589000,1.589000,3882000
1997-07-03,1.600000,1.917000,1.594000,1.912000,1.912000,12577200
1997-07-07,1.895830,2.020830,1.833333,2.000000,2.000000,8053200
1997-07-08,2.042000,2.334000,2.042000,2.302000,2.302000,15517200
1997-07-09,2.300000,2.386000,2.271000,2.323000,2.323000,8262000
1997-07-10,2.334000,2.573000,2.334000,2.563000,2.563000,9051600
1997-07-11,2.520000,2.521000,2.209000,2.292000,2.292000,10531200
